aisle_id,new_aisle_ID,aisle
115,8,water seltzer sparkling water
91,9,soy lactosefree
86,10,eggs
78,11,crackers
37,12,ice cream
69,15,soup broth bouillon
31,16,refrigerated
88,17,spreads
67,18,fresh dips tapenades
36,19,butter
96,20,lunch meat
121,21,cereal
16,22,fresh herbs
81,23,canned jarred vegetables
117,24,nuts seeds dried fruit
98,25,honeys syrups nectars
106,26,hot dogs bacon sausage
131,27,pasta
59,28,canned meals beans
9,27,pasta
53,29,cream
3,30,energy food
77,31,soft drinks
38,33,frozen meals
45,34,sweets
66,35,asian foods
93,36,breakfast
61,37,dessert
130,38,hot cereal pancake mixes
4,39,instant foods
63,40,grains rice dried goods
94,41,tea
129,42,frozen appetizers sides
52,36,breakfast
26,43,coffee
32,44,packaged produce
23,45,popcorn jerky
51,46,preserved dips spreads
50,47,fruit vegetable snacks
110,48,pickled goods olives
89,49,salad
79,50,frozen pizza
49,51,packaged poultry
35,52,poultry counter
29,25,honeys syrups nectars
5,53,marinades meat preparation
30,54,latino foods
20,56,medical
57,57,granola
14,58,tofu meat alternatives
34,59,frozen meat seafood
99,60,canned fruit applesauce
92,61,baby
13,62,prepared meals
95,63,canned meat seafood
122,64,meat counter
42,65,frozen vegan vegetarian
1,49,salad
47,66,supplements
64,30,energy food
48,36,breakfast
127,67,beauty
22,67,beauty
12,27,pasta
7,68,packaged meat
8,37,dessert
65,69,protein meal replacements
11,56,medical
39,70,seafood
125,71,trail mix snack mix
70,56,medical
71,37,dessert
133,56,medical
119,37,dessert
90,72,cocoa drink mixes
80,67,beauty
126,67,beauty
15,70,seafood
56,61,baby
27,73,beers coolers
40,74,pet
41,74,pet
28,75,wines
68,40,grains rice dried goods
118,56,medical
103,12,ice cream
46,76,mint gum
76,77,indian foods
73,67,beauty
62,75,wines
44,56,medical
55,67,beauty
109,67,beauty
124,78,spirits
33,79,kosher foods
102,61,baby
132,67,beauty
134,75,wines
82,61,baby
113,80,frozen juice
